procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0 1843 1994  1  3 96  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  316  126  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  764 1408  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  446  475  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  415  176  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   260  453  241  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  398  158  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    12  358  167  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    12  373  183  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  411  248  0  1 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     8 1529 1437  2  8 91  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  809  791  1  4 95  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  453  242  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  416  199  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  368  184  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   280  474  223  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  369  191  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  349  164  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  352  172  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  359  163  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    16  566  429  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4539536  44636 4426772    0    0     0     0 1465 1091  2 11 87  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1432 1551  1  8 90  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  371  177  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  382  176  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   348  564  281  0  3 96  1  0
 1  0      0 4539536  44636 4426772    0    0     0     0  432  269  0  1 99  0  0
 0 100  0  0
